name,id,type,label,customerId,CustomerName
58BF25EA2694-002,2539e7f0-a1d5-11eb-815e-ebaaf988cf91,BRAVO,CARA PM - 5146,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25EA1CB0-002,25841050-a1d5-11eb-815e-ebaaf988cf91,BRAVO,Clogging - Before filters,e21b4fa0-4bc3-11ed-9a85-43b5866161ae,Project Clogging
24D7EBBD44B8-002,258ce9f0-a1d5-11eb-815e-ebaaf988cf91,BRAVO,Produktion - Kantpressen,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
24D7EBBD4A80-002,25a79de0-a1d5-11eb-815e-ebaaf988cf91,BRAVO,A6 - Production - Assembly Area,0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25EA1CB0-003,2676fbd0-a1d5-11eb-815e-ebaaf988cf91,PREMASGARD,SQ2 - 3,e21b4fa0-4bc3-11ed-9a85-43b5866161ae,Project Clogging
3CE90E1171E8,2d2e6950-832f-11eb-99b2-1749f3975254,IntelliGateLTE,"",0a1c7950-4bb7-11ed-9a85-43b5866161ae,Zehnder Group - PMO SE
58BF25E80028,2dee1ba0-e539-11ee-97a1-13eb5634dd40,IntelliGateLTE,CARA DT,6d31f850-3489-11ef-ad50-41358614ad63,Alta
5443B2E178D0,2eef5470-e538-11ee-97a1-13eb5634dd40,IntelliGateLTE,CARA DT,6d31f850-3489-11ef-ad50-41358614ad63,Alta
58BF25EA71AC-003,2ff10360-27db-11ef-9159-ed94d19c6787,Premasgard_7000,Saica 2,30832ed0-2d4d-11ef-ad50-41358614ad63,Saica Pack -  UK
58BF25E89CEC-004,33c9ec90-fc4f-11ec-8f93-ddff7dbc2bc8,PREMASGARD,Flow,70e0a5b0-4bc3-11ed-9a85-43b5866161ae,Scandinavian Cellulose Production - Tbro SE
58BF25EA1CB0,34f20950-86fc-11eb-99b2-1749f3975254,IntelliGateLTE,5223,e21b4fa0-4bc3-11ed-9a85-43b5866161ae,Project Clogging
C049EF232008,35646560-9978-11ec-bcd8-afb5f342d01b,IntelliGateLTE,R&D Zone 1,da385a00-b47a-11ee-97a1-13eb5634dd40,R&D Novelis
C049EF232008-001,3567c0c0-9978-11ec-bcd8-afb5f342d01b,Modbus V6 Fan,R&D 1,da385a00-b47a-11ee-97a1-13eb5634dd40,R&D Novelis
C049EF232008-003,356d17f0-9978-11ec-bcd8-afb5f342d01b,PREMASGARD,System,da385a00-b47a-11ee-97a1-13eb5634dd40,R&D Novelis
34945402415C,385b52c0-e790-11ee-97a1-13eb5634dd40,IntelliGateLTE,CARA DT,6d31f850-3489-11ef-ad50-41358614ad63,Alta
EC62604C580C-010,38e79d50-506b-11ee-863a-01bce6d27c63,SEN5X,Cosanum 13,8d8537a0-4675-11ee-bc70-33963a1aa4c6,Cosanum - Zurich CH
